travel_time,crowd_level,venues_visited,w_travel,w_crowd,w_venues,is_pareto_optimal
30,0.2777777777777778,4,0.1,0.1,-1.0,True
30,0.2777777777777778,4,0.1,0.1,-20.5,True
30,0.2777777777777778,4,0.1,0.1,-40.0,True
30,0.2777777777777778,4,0.1,0.55,-1.0,True
30,0.2777777777777778,4,0.1,0.55,-20.5,True
30,0.2777777777777778,4,0.1,0.55,-40.0,True
30,0.2777777777777778,4,0.1,1.0,-1.0,True
30,0.2777777777777778,4,0.1,1.0,-20.5,True
30,0.2777777777777778,4,0.1,1.0,-40.0,True
30,0.2777777777777778,4,0.55,0.1,-1.0,True
30,0.2777777777777778,4,0.55,0.1,-20.5,True
30,0.2777777777777778,4,0.55,0.1,-40.0,True
30,0.2777777777777778,4,0.55,0.55,-1.0,True
30,0.2777777777777778,4,0.55,0.55,-20.5,True
30,0.2777777777777778,4,0.55,0.55,-40.0,True
30,0.2777777777777778,4,0.55,1.0,-1.0,True
30,0.2777777777777778,4,0.55,1.0,-20.5,True
30,0.2777777777777778,4,0.55,1.0,-40.0,True
30,0.2777777777777778,4,1.0,0.1,-1.0,True
30,0.2777777777777778,4,1.0,0.1,-20.5,True
30,0.2777777777777778,4,1.0,0.1,-40.0,True
30,0.2777777777777778,4,1.0,0.55,-1.0,True
30,0.2777777777777778,4,1.0,0.55,-20.5,True
30,0.2777777777777778,4,1.0,0.55,-40.0,True
30,0.2777777777777778,4,1.0,1.0,-1.0,True
30,0.2777777777777778,4,1.0,1.0,-20.5,True
30,0.2777777777777778,4,1.0,1.0,-40.0,True
